state,county,zipcode,county_name,mean_household_income2000,mean_commutetime,num_degrees_2000,num_degrees_2010,foreign_residents2010,mean_household_income1990,mean_household_income2016,poverty2010,poverty2000,poverty1990,share_white2010,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,mean_3rdgrade_math_2013,mediangross_rent2015,numsingleparent_households2010,numsingleparent_households1990,numsingleparent_households2000,lessthan15commute_2010,employmentrate_2000,mail_return_rate2010,wage_growth_highschoolers,popdensity2010,popdensity2000,avg_job_growth_2004_13,job_density_2013
37,41,2000,Virginia Beach,55801.172,26.118969,0.16403723,0.15794101,0.03414461,20428.30332,40852.96992,0.17324007,0.17600809,0.17611919,0.61109984,0.34685326,0.031568985,0.003244778,0.37187153,0.60293597,0.015126028,0.00250236,3.5908484,725.99689,0.39267707,0.21808368,0.35632032,0.42297226,0.52603728,85.694252,,85.769943,84.221878,-0.026888328,29.90613
37,43,1204,Andrews,58846.676,25.612358,0.15381449,0.18638816,0.022338266,18753.45008,38381.63644,0.21451072,0.11443724,0.17810373,0.95211107,0.009351092,0.02436951,0.001983565,0.008695809,0.97267175,0.00837721,0.000911334,3.4977605,653.25653,0.21382493,0.16359438,0.23506536,0.39838055,0.51239729,85.904083,-0.15479229,49.299183,40.861465,-0.01398834,17.22468
37,45,800,Gastonia,64906.695,24.625957,0.13289653,0.15887479,0.021918563,27223.1335,39683.4023,0.18906821,0.12942217,0.10275813,0.74219501,0.21474744,0.028100083,0.003873085,0.20284422,0.76967984,0.014899785,0.003432974,4.0252604,618.74841,0.40797663,0.22206201,0.30514964,0.3334192,0.60748082,81.863602,0.084640585,211.26071,207.14822,-0.004081485,90.711708
37,47,1500,Wilmington,52921.516,27.808716,0.1004632,0.12021653,0.02864423,18820.46258,37392.95654,0.21434979,0.22620721,0.23787156,0.6036008,0.30994183,0.045819134,0.002203174,0.30934635,0.63223034,0.023468236,0.001891356,2.2788014,591.38831,0.42569983,0.2396847,0.33671534,0.28038999,0.49555686,79.150101,,61.984886,58.411831,-0.002659268,23.049356
37,49,1900,Jacksonville,66082.539,22.491011,0.1898838,0.20628922,0.047207236,27469.69208,50190.04414,0.15249409,0.12793024,0.12400232,0.67074054,0.23266509,0.060596108,0.012497229,0.24861486,0.69299412,0.036566719,0.008659321,3.5582867,813.591,0.36857966,0.219119,0.29513744,0.39051816,0.51866633,82.095047,-0.001375769,145.99615,128.97256,-0.001195891,53.410854
37,51,1400,Fayetteville,67767.07,23.755812,0.19029348,0.21612188,0.057829175,26987.27588,47151.71182,0.16573645,0.12360456,0.13155843,0.47192979,0.37768719,0.094511807,0.019244501,0.34795594,0.53690946,0.065025255,0.016394338,3.2660248,756.76801,0.42335474,0.23553281,0.32144231,0.30397516,0.50975603,76.849564,0.10992497,518.02533,491.31635,0.00169319,181.19411
37,53,2000,Virginia Beach,71761.164,37.677868,0.12164859,0.17032926,0.033098742,28414.09247,61929.25069,0.085827149,0.10526424,0.098286249,0.88656729,0.063659914,0.029897653,0.005696813,0.075714767,0.89370829,0.014496936,0.003033618,3.6908188,818.39355,0.25195438,0.14119272,0.23250885,0.18082668,0.60318565,84.778427,-0.012743109,89.9245,69.466454,0.005497447,44.341671
37,55,2100,Washington,80444.703,20.666342,0.27452219,0.31544703,0.05000006,30540.76249,55774.27084,0.10506965,0.080433562,0.081453159,0.88623232,0.030542452,0.065153301,0.005165816,0.029561745,0.93464524,0.022389702,0.002732258,3.5174074,936.69818,0.34920663,0.17644091,0.25637516,0.45344409,0.64647192,86.576859,0.038892645,88.466957,78.157112,-0.017111059,47.584892
37,57,500,Greensboro,68960.469,23.761534,0.13022503,0.16526523,0.046027064,28804.38129,45866.65184,0.1459323,0.097480491,0.094978228,0.81954592,0.093204729,0.06390059,0.00513457,0.086416222,0.86642969,0.030239765,0.002990274,3.6202135,617.10468,0.29750374,0.19542086,0.25532076,0.28439456,0.6468274,81.794167,0.033003159,294.70847,266.42184,-0.000465952,131.72118
37,59,401,Winston-Salem,78110.609,25.459724,0.17890194,0.23533635,0.044296172,30832.51156,53887.25274,0.12031667,0.084118098,0.082393043,0.85492241,0.069762364,0.060523763,0.004873909,0.06910228,0.88707054,0.034103379,0.002493606,3.8921065,648.63123,0.22437225,0.15535671,0.21639635,0.27147853,0.62241644,82.752701,0.040277489,156.14943,131.8978,0.000331523,69.911324
37,61,1800,Goldsboro,56102.113,27.137758,0.10388476,0.10101207,0.1262237,19862.46377,35464.72459,0.2363424,0.19332865,0.18681893,0.52916843,0.25496966,0.20611914,0.002529698,0.28338507,0.55449599,0.15603937,0.001362522,3.2362685,534.98822,0.38090473,0.21708803,0.3005861,0.35230413,0.57709521,76.764931,,71.677979,60.113926,0.006468494,29.815491
37,63,1701,Raleigh,81987.055,22.554853,0.41539466,0.41728339,0.14043052,34430.05554,57242.52813,0.1702792,0.12670186,0.1059745,0.42116022,0.38599408,0.13482344,0.036033388,0.37743464,0.50490594,0.069268331,0.033435039,2.8028383,912.75958,0.39113095,0.26980934,0.35106781,0.29459792,0.6598196,77.573914,0.043875758,935.70068,780.88641,0.01602249,492.8158
37,65,1600,Wilson,56366.75,22.245684,0.08363197,0.10249464,0.022289731,22568.28364,33887.78805,0.21954708,0.18887599,0.19891408,0.37770545,0.57761002,0.037204698,0.001768284,0.56153435,0.40721312,0.026809188,0.001323063,2.6002896,574.50726,0.48471951,0.3228406,0.41318271,0.38767999,0.54207134,81.378334,-0.039772648,111.9097,110.03767,-0.007877084,41.257698
